Code,Name,Freq_Score,3Y,5Y,10Y,15Y,20Y,Avg_Return,Std_Dev,Risk_Grade
124249,Reliance Fixed Horizon Fund - XXIV - Series 20 - Direct Plan - Growth Option,0,9.14,-100.0,-100.0,-100.0,-100,9.14,0.0,Low
123982,Reliance Fixed Horizon Fund - XXIV - Series 16 - Direct Plan - Growth Plan,0,9.14,-100.0,-100.0,-100.0,-100,9.14,0.0,Low
124098,Reliance Fixed Horizon Fund - XXIV - Series 17-Direct Plan -Growth Option,0,9.11,-100.0,-100.0,-100.0,-100,9.11,0.0,Low
123742,Reliance Fixed Horizon Fund - XXIV - Series 15-Direct Plan -Growth Option,0,7.79,-100.0,-100.0,-100.0,-100,7.79,0.51,Low
123205,Reliance Fixed Horizon Fund - XXIV - Series 6 - Direct Plan - Growth Option,0,9.14,-100.0,-100.0,-100.0,-100,9.14,0.0,Low
123072,Reliance Fixed Horizon Fund - XXIV - Series 4-Direct Plan - Growth Option,0,7.73,-100.0,-100.0,-100.0,-100,7.73,0.51,Low
123151,Reliance Fixed Horizon Fund - XXIV - Series 5 - Direct Plan - Growth Option,0,9.1,-100.0,-100.0,-100.0,-100,9.1,0.0,Low
124213,Reliance Fixed Horizon Fund - XXIV - Series 18 -Direct Plan -Growth Option,0,9.21,-100.0,-100.0,-100.0,-100,9.21,0.0,Low
124707,Reliance Fixed Horizon Fund - XXIV - Series 22 - Direct Plan - Growth Option,0,8.25,-100.0,-100.0,-100.0,-100,8.25,0.56,Low
123051,Reliance Fixed Horizon Fund - XXIV - Series 3-Direct Plan - Growth Option,0,7.13,-100.0,-100.0,-100.0,-100,7.13,0.53,Low
125152,Reliance Fixed Horizon Fund - XXIV - Series 24 - Direct Plan - Growth Option,0,7.68,9.08,-100.0,-100.0,-100,8.38,0.78,Low
122902,Reliance Fixed Horizon Fund - XXIV - Series 2 - Direct Plan - Growth Option,0,5.79,6.96,-100.0,-100.0,-100,6.38,3.35,Low
123211,Reliance Fixed Horizon Fund - XXIV - Series 7 - Direct Plan - Growth Option,0,9.65,-100.0,-100.0,-100.0,-100,9.65,0.0,Low
123344,Reliance Fixed Horizon Fund - XXIV - Series 8-Direct Plan-Growth Option,0,9.63,-100.0,-100.0,-100.0,-100,9.63,0.0,Low
123374,Reliance Fixed Horizon Fund - XXIV - Series 9 -Direct Plan -Growth Option,0,9.5,-100.0,-100.0,-100.0,-100,9.5,0.0,Low
125192,Reliance Fixed Horizon Fund - XXIV - Series 25- Direct Plan - Growth Option,0,7.44,-100.0,-100.0,-100.0,-100,7.44,0.45,Low
125257,Reliance Fixed Horizon Fund - XXV - Series 1-Direct Plan -Growth Option,0,8.32,-100.0,-100.0,-100.0,-100,8.32,0.55,Low
125957,Reliance Fixed Horizon Fund - XXV - Series 12 - Direct Plan - Growth Option,0,8.55,-100.0,-100.0,-100.0,-100,8.55,0.47,Low
125934,Reliance Fixed Horizon Fund - XXV - Series 11 - Direct Plan - Growth Option,0,8.48,-100.0,-100.0,-100.0,-100,8.48,0.47,Low
126256,Reliance Fixed Horizon Fund - XXV - Series 13 - Direct Plan - Growth Option,0,8.5,-100.0,-100.0,-100.0,-100,8.5,0.48,Low
126372,Reliance Fixed Horizon Fund - XXV - Series 14-Direct Plan -Growth Option,0,8.59,-100.0,-100.0,-100.0,-100,8.59,0.0,Low
126485,Reliance Fixed Horizon Fund - XXV - Series 16 - Direct Plan - Growth Option,0,8.51,-100.0,-100.0,-100.0,-100,8.51,0.52,Low
126702,Reliance Fixed Horizon Fund - XXV - Series 17 - Direct Plan - Growth Option,0,8.47,-100.0,-100.0,-100.0,-100,8.47,0.52,Low
126977,Reliance Fixed Horizon Fund - XXV - Series 20 - Direct Plan - Growth Option,0,8.94,-100.0,-100.0,-100.0,-100,8.94,0.56,Low
126891,Reliance Fixed Horizon Fund - XXV - Series 18 - Direct Plan - Growth Option,0,8.41,-100.0,-100.0,-100.0,-100,8.41,0.52,Low
125309,Reliance Fixed Horizon Fund - XXV - Series 2-Direct Plan-Growth Option,0,8.63,-100.0,-100.0,-100.0,-100,8.63,0.0,Low
